0 1 2 0.002
0 2 2 0.002
0 3 2 0.023
0 4 1 0.002
0 4 2 0.008
0 4 3 0.002
0 5 2 0.005
0 6 2 0.056
0 7 2 0.019
0 8 2 0.006
0 9 2 0.004
0 10 1 0.002
0 10 2 0.005
0 11 0 0.002
0 11 2 0.125
0 12 2 0.020
0 13 2 0.003
0 14 0 0.001
0 14 2 0.019
0 15 2 0.043
0 16 0 0.002
0 16 2 0.075
0 17 2 0.005
0 18 2 0.333
0 19 2 0.006
0 20 2 0.014
0 21 0 0.001
0 21 2 0.007
0 22 2 0.020
0 23 0 0.002
0 23 1 0.002
0 23 2 0.064
0 23 3 0.002
0 24 2 0.015
0 25 2 0.014
0 26 2 0.003
0 27 2 0.014
0 28 0 0.002
0 28 2 0.145
0 29 2 0.004
0 30 2 0.004
0 31 2 0.002
0 31 3 1.000
0 32 2 0.008
0 33 2 0.021
0 34 2 0.008
0 35 0 0.002
0 35 1 0.002
0 35 2 0.112
0 35 3 0.002
0 36 2 0.064
0 37 2 0.004
0 38 2 0.003
0 39 0 0.001
0 39 2 0.002
0 39 3 1.000
0 40 2 0.003
0 41 2 0.004
0 42 2 0.010
0 43 2 0.003
0 44 2 0.079
0 45 0 0.002
0 45 1 0.002
0 45 2 0.004
0 46 2 0.003
0 47 0 0.002
0 47 2 0.011
0 48 2 0.023
0 49 2 0.012
0 50 1 0.002
0 50 2 0.008
0 50 3 0.002
0 51 0 0.002
0 51 2 0.001
0 52 1 0.002
0 52 2 0.004
0 52 3 0.003
0 53 2 0.004
0 54 2 0.002
0 55 2 0.008
0 56 1 0.002
0 56 2 0.009
0 57 2 0.009
0 58 0 0.001
0 58 2 0.003
0 59 0 0.008
0 59 2 0.002
0 60 2 0.004
0 61 2 0.053
0 62 2 0.072
0 63 2 0.003
0 64 2 0.012
0 64 3 0.002
0 65 2 0.009
0 66 2 0.023
0 67 0 0.002
0 67 2 0.088
0 68 0 0.002
0 68 2 0.002
0 69 0 0.001
0 69 2 0.275
0 70 2 0.010
0 71 0 0.002
0 71 1 0.002
0 71 2 0.006
0 72 2 0.004
0 72 3 0.002
0 73 2 0.003
0 74 0 0.001
0 74 2 0.001
0 75 2 0.006
0 76 2 0.003
0 77 0 0.001
0 77 2 0.003
0 78 0 0.003
0 78 2 0.030
0 79 2 0.002
0 80 0 0.001
0 80 2 0.183
0 81 2 0.030
0 82 2 0.003
0 83 2 0.003
0 83 3 0.001
0 84 2 0.022
0 85 2 0.064
0 86 2 0.007
0 87 2 0.028
0 88 2 0.003
0 89 2 0.003
0 90 2 0.030
0 91 2 0.011
0 92 2 0.002
0 93 2 0.004
0 94 2 0.004
0 95 2 0.006
0 96 0 0.002
0 96 2 0.141
0 97 2 0.003
0 98 1 0.002
0 98 2 0.008
0 99 0 0.002
0 99 2 0.037
0 100 2 0.020
0 101 2 0.008
0 102 2 0.060
0 103 0 1.000
0 103 2 0.002
0 103 3 1.000
0 104 1 1.000
0 104 2 0.002
0 105 2 0.003
0 106 2 0.008
0 107 2 0.003
0 108 2 0.020
0 109 0 0.002
0 109 2 0.012
0 110 2 0.006
0 111 2 0.002
0 112 2 0.014
0 113 0 0.001
0 113 2 0.017
0 113 3 0.002
0 114 2 0.002
0 115 1 0.003
0 115 2 0.003
0 115 3 0.003
0 116 2 0.002
0 117 1 0.001
0 117 2 0.017
0 118 2 0.003
0 119 0 0.001
0 119 2 0.010
0 120 2 0.003
0 121 0 0.001
0 121 2 0.016
0 122 2 0.001
0 123 2 0.002
0 124 2 0.016
0 125 2 0.005
0 126 1 0.003
0 126 2 0.027
0 127 0 0.002
0 127 2 0.080
0 128 2 0.002
0 129 1 0.002
0 129 2 0.002
0 130 2 0.026
0 131 0 0.001
0 131 2 0.037
0 132 2 0.004
0 133 2 0.019
0 134 1 0.002
0 134 2 0.015
0 135 2 0.009
0 136 2 0.005
0 137 2 0.008
0 138 2 0.028
0 139 2 0.004
0 140 2 0.010
0 141 2 0.016
0 142 2 0.009
0 143 0 0.001
0 143 2 0.009
0 144 2 0.008
0 145 2 0.009
0 146 2 0.005
0 147 1 0.001
0 147 2 0.004
0 147 3 0.003
0 148 2 0.001
0 149 0 0.001
0 149 2 0.011
0 150 2 0.360
0 151 2 0.336
0 152 2 0.060
0 153 0 0.001
0 153 2 0.058
0 154 0 0.002
0 154 2 0.062
0 155 2 0.065
0 156 2 0.015
0 157 2 0.001
0 158 2 0.008
0 159 2 0.009
0 160 2 0.004
0 161 0 0.001
0 161 2 0.004
0 162 1 0.001
0 162 2 0.017
0 163 2 0.005
0 164 2 0.004
0 164 3 0.003
0 165 0 0.011
0 165 2 0.013
0 166 2 0.003
0 167 2 0.009
0 168 2 0.148
0 169 2 0.003
0 170 2 0.005
0 171 2 0.005
0 172 2 0.013
0 173 2 0.002
0 174 2 0.011
0 175 2 0.004
0 176 2 0.004
0 177 2 0.015
0 178 2 0.002
0 179 2 0.019
0 180 1 0.001
0 180 2 0.016
0 181 0 0.002
0 181 2 0.248
0 182 2 0.015
0 182 3 1.000
0 183 2 0.002
0 184 0 0.019
0 184 2 0.002
0 185 2 0.006
0 186 0 0.001
0 186 2 0.006
0 187 2 0.004
0 188 2 0.003
0 189 2 0.007
0 190 2 0.008
0 191 2 0.006
0 192 2 0.016
0 193 0 0.001
0 193 2 0.014
0 194 2 0.007
0 195 0 0.013
0 195 2 0.003
0 196 0 0.002
0 196 2 0.003
0 197 2 0.009
0 198 2 0.011
0 199 2 0.016
0 200 2 0.003
0 201 2 0.004
0 202 1 0.001
0 202 2 0.036
0 203 1 0.002
0 203 2 0.010
0 203 3 0.002
0 204 2 0.019
0 205 1 0.002
0 205 2 0.007
0 205 3 0.002
0 206 0 0.003
0 206 2 0.014
0 207 0 0.002
0 207 2 0.001
0 208 2 0.003
0 209 2 0.002
0 210 2 0.007
0 211 2 0.005
0 212 0 0.001
0 212 1 0.001
0 212 2 0.020
0 213 2 0.037
0 214 2 0.002
0 215 2 0.009
0 216 2 0.002
0 217 0 0.017
0 217 2 0.001
0 218 2 0.006
0 219 2 0.002
0 220 2 0.155
0 221 0 0.001
0 221 2 0.173
0 222 0 0.002
0 222 2 0.071
0 223 2 0.004
0 224 2 0.002
0 225 2 0.003
0 226 2 0.013
0 227 0 0.001
0 227 2 0.004
0 228 2 0.019
0 229 0 0.003
0 229 2 0.027
0 230 2 0.007
0 231 2 0.004
0 232 2 0.002
0 233 2 0.013
0 234 2 0.009
0 235 2 0.004
0 236 2 0.008
0 237 2 0.003
0 238 2 0.003
0 239 2 0.019
0 240 2 0.005
0 241 0 0.003
0 241 2 0.004
0 242 2 0.004
0 243 0 0.001
0 243 2 0.026
0 244 2 0.226
0 245 0 1.000
0 245 2 0.001
0 246 2 0.004
0 247 2 0.016
0 248 0 0.002
0 248 1 0.002
