0 1 2 0.002
0 1 3 0.002
0 2 0 0.003
0 2 1 0.002
0 2 2 0.002
0 2 3 0.002
0 3 0 1.000
0 3 2 0.992
0 5 0 1.000
0 5 2 1.000
0 6 0 0.089
0 9 0 0.021
0 9 2 0.038
0 10 0 0.395
0 11 0 0.003
0 11 1 0.002
0 11 2 0.002
0 11 3 0.002
0 12 0 1.000
0 13 0 1.000
0 14 0 1.000
0 14 2 0.002
0 15 0 0.005
0 15 1 0.002
0 15 2 0.002
0 15 3 0.002
0 17 0 0.003
0 17 1 0.002
0 17 2 0.002
0 17 3 0.002
0 19 0 0.003
0 19 1 0.002
0 20 2 1.000
0 22 0 1.000
0 23 0 0.003
0 23 1 0.002
0 23 2 0.002
0 23 3 0.002
0 25 0 1.000
0 26 0 1.000
0 27 0 1.000
0 27 2 1.000
0 29 0 0.998
0 30 0 0.999
0 33 0 1.000
0 34 0 0.003
0 34 1 0.002
0 34 2 0.002
0 34 3 0.002
0 35 2 1.000
0 36 0 0.003
0 36 1 0.002
0 36 2 0.002
0 36 3 0.002
0 37 0 0.056
0 38 1 0.002
0 40 2 1.000
0 41 0 1.000
0 41 2 1.000
0 42 0 0.003
0 42 1 0.002
0 42 2 0.002
0 42 3 0.002
0 43 0 1.000
0 44 2 0.999
0 45 0 0.003
0 45 1 0.002
0 45 2 0.002
0 45 3 0.002
0 46 2 1.000
0 47 0 0.004
0 47 1 0.002
0 47 2 0.002
0 47 3 0.002
0 49 0 0.996
0 51 2 1.000
0 52 0 1.000
0 53 0 0.003
0 53 1 0.002
0 53 2 0.002
0 53 3 0.002
0 54 0 1.000
0 55 0 1.000
0 55 2 0.004
0 56 0 0.003
0 56 1 0.002
0 56 2 0.002
0 56 3 0.002
0 57 2 0.002
0 58 0 0.003
0 58 1 0.002
0 58 2 0.002
0 58 3 0.002
0 59 0 0.003
0 59 1 0.002
0 59 2 0.002
0 59 3 0.002
0 60 0 0.003
0 60 1 0.002
0 60 2 0.002
0 60 3 0.002
0 62 0 1.000
0 63 0 0.003
0 63 1 0.002
0 63 2 0.002
0 63 3 0.002
0 64 0 0.003
0 64 1 0.002
0 64 2 0.002
0 64 3 0.002
0 65 0 0.003
0 65 2 0.002
0 65 3 0.002
0 66 0 0.100
0 66 2 1.000
0 67 1 0.002
0 67 2 0.002
0 68 3 1.000
0 70 0 1.000
0 71 0 1.000
0 72 0 0.999
0 74 0 0.004
0 74 1 0.002
0 74 2 0.002
0 74 3 0.002
0 75 2 0.002
0 75 3 0.002
0 76 0 0.003
0 76 2 0.002
0 76 3 0.002
0 77 0 1.000
0 81 0 0.963
0 82 1 0.003
0 82 2 0.002
0 82 3 0.002
0 83 0 0.003
0 83 1 0.002
0 83 2 0.002
0 83 3 0.002
0 84 0 1.000
0 85 0 0.003
0 85 1 0.002
0 85 2 0.002
0 85 3 0.002
0 87 0 0.003
0 87 1 0.002
0 87 2 0.002
0 87 3 0.002
0 88 0 1.000
0 89 0 0.003
0 89 1 0.002
0 89 2 0.002
0 89 3 0.002
0 90 0 0.005
0 90 2 1.000
0 91 0 0.003
0 91 1 0.002
0 91 2 0.002
0 91 3 0.002
0 92 0 1.000
0 93 0 0.012
0 94 0 1.000
0 96 2 0.010
0 97 0 1.000
0 98 2 1.000
0 99 0 1.000
0 100 0 0.010
0 101 0 0.003
0 101 1 0.002
0 101 2 0.002
0 101 3 0.002
0 103 0 1.000
0 105 0 1.000
0 106 0 0.003
0 106 1 0.002
0 106 2 0.002
0 106 3 0.002
0 107 0 1.000
0 110 0 1.000
0 111 0 1.000
0 113 2 0.983
0 115 0 0.003
0 115 1 0.002
0 115 2 0.002
0 115 3 0.002
0 116 0 1.000
0 116 2 1.000
0 117 0 1.000
0 118 0 1.000
0 118 2 1.000
0 120 0 0.003
0 120 1 0.002
0 120 2 0.002
0 120 3 0.002
0 121 1 0.002
0 122 0 1.000
0 123 0 0.004
0 123 1 0.002
0 123 2 0.002
0 123 3 0.002
0 124 0 0.039
0 125 2 1.000
0 127 0 1.000
0 128 0 0.003
0 128 1 0.002
0 128 2 0.002
0 128 3 0.002
0 129 0 1.000
0 131 0 1.000
